Symbol,Company,Sector,Industry,Date added,Founded,City,State/Country
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,2017-07-26,1986,Paradise, Nevada
MCHP,Microchip Technology,Information Technology,Semiconductors,2007-09-07,1989,Chandler, Arizona
MU,Micron Technology,Information Technology,Semiconductors,1994-09-27,1978,Boise, Idaho
MSFT,Microsoft,Information Technology,Systems Software,1994-06-01,1975,Redmond, Washington
MAA,Mid-America Apartments,Real Estate,Residential REITs,2016-12-02,1977,Memphis, Tennessee
MRNA,Moderna,Health Care,Biotechnology,2021-07-21,2010,Cambridge, Massachusetts
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013-12-23,1878,Calhoun, Georgia
TAP,Molson Coors,Consumer Staples,Brewers,1976-06-30,"2005 (Molson 1786, Coors 1873)",Chicago, Illinois
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02,2012,Chicago, Illinois
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2021-02-12,1997,Kirkland, Washington
MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012-06-28,2012 (1935),Corona, California
MCO,Moody's,Financials,Financial Exchanges & Data,,1909,New York City, New York
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,,1935,New York City, New York
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,2011-09-26,2004 (1865 / 1909),Tampa, Florida
MSI,Motorola Solutions,Information Technology,Communications Equipment,,1928 (2011),Chicago, Illinois
MSCI,MSCI,Financials,Financial Exchanges & Data,2018-04-04,1969,New York City, New York
NDAQ,Nasdaq,Financials,Financial Exchanges & Data,2008-10-22,1971,New York City, New York
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25,1992,Sunnyvale, California
NFLX,Netflix,Communication Services,Movies & Entertainment,2010-12-20,1997,Los Gatos, California
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1989-04-30,1903,Atlanta, Georgia
NEM,Newmont,Materials,Gold,1969-06-30,1921,Denver, Colorado
NWSA,News Corp (Class A),Communication Services,Publishing,2013-08-01,2013 (1980),New York City, New York
NWS,News Corp (Class B),Communication Services,Publishing,2015-09-18,2013 (1980),New York City, New York
